Datetime,Action,Price,Shares_After,Cash_After,Portfolio_Value,buy_rise_pct,sell_drop_pct,Reason,symbol
2026-09-02T23:00:00+00:00,BUY,324.74,3.0793865861920304,0.0,1000.0,1.0,2.5,Initial full allocation,AAPL
2026-09-02T23:00:00+00:00,BUY,456.731,2.1894725779506974,0.0,1000.0,1.0,1.0,Initial full allocation,AMD
2026-09-02T23:00:00+00:00,BUY,334.85,2.986411826190832,0.0,1000.0,2.0,1.0,Initial full allocation,GOOG
2026-09-02T23:00:00+00:00,BUY,497.75,2.0090406830738323,0.0,1000.0,1.0,1.0,Initial full allocation,MSFT
2026-09-02T23:00:00+00:00,BUY,225.35,4.437541601952519,0.0,1000.0,11.5,1.0,Initial full allocation,NVDA
2026-09-02T23:00:00+00:00,BUY,550.8181,1.815481372162607,0.0,1000.0,6.5,1.0,Initial full allocation,SMH
2026-09-02T19:30:00+00:00,BUY,116.33999633789062,8.595496230682889,0.0,1000.0,2.0,2.0,Initial full allocation,ZSP.TO
2026-09-04T14:57:00+00:00,SELL,501.4549865722656,0.0,1007.443468753924,1007.443468753924,2.0,1.5,Price dropped from rolling peak threshold,MSFT
2026-09-08T23:00:00+00:00,BUY,493.134,2.0429405977967936,0.0,1007.443468753924,2.5,6.5,Price rose from rolling trough threshold,MSFT
2026-09-09T16:30:00+00:00,SELL,313.7200012207031,0.0,966.0651635791806,966.0651635791806,1.5,4.5,Price dropped from rolling peak threshold,AAPL
2026-09-10T09:00:00+00:00,BUY,318.91,3.0292720942559987,0.0,966.0651635791806,1.5,4.5,Price rose from rolling trough threshold,AAPL
2026-09-10T13:30:00+00:00,SELL,219.1100006103516,0.0,972.3097431122768,972.3097431122768,3.0,4.0,Price dropped from rolling peak threshold,NVDA
2026-09-10T19:30:00+00:00,SELL,503.3299865722656,0.0,1102.0272032602684,1102.0272032602684,3.5000000000000004,3.0,Price dropped from rolling peak threshold,AMD
2026-09-14T10:00:00+00:00,SELL,546.0,0.0,991.2528292007836,991.2528292007836,3.0,3.5000000000000004,Price dropped from rolling peak threshold,SMH
2026-09-16T12:00:00+00:00,BUY,513.3543,2.14671855921002,0.0,1102.0272032602684,4.0,2.0,Price rose from rolling trough threshold,AMD
2026-09-16T19:30:00+00:00,SELL,512.530029296875,0.0,1100.2577260440569,1100.2577260440569,4.0,2.0,Price dropped from rolling peak threshold,AMD
2026-09-17T16:30:00+00:00,BUY,549.72998046875,2.0014511944680127,0.0,1100.2577260440569,4.0,2.0,Price rose from rolling trough threshold,AMD
2026-09-17T16:30:00+00:00,BUY,218.90499877929688,4.441697304923463,0.0,972.3097431122768,3.0,4.0,Price rose from rolling trough threshold,NVDA
2026-09-17T16:30:00+00:00,BUY,560.4199829101562,1.7687678159750706,0.0,991.2528292007835,3.0,3.5000000000000004,Price rose from rolling trough threshold,SMH
