Block_Start,Block_End,Train_Days_Used,buy_rise_pct,sell_drop_pct,Train_Final_Value
2025-01-02,2025-01-08,20,1.0,1.0,1012.15545624142
2025-01-09,2025-01-15,20,1.5,1.0,999.7871269186517
2025-01-16,2025-01-22,20,1.5,1.0,992.7079836661577
2025-01-23,2025-01-29,20,1.5,1.0,1033.0908894871352
2025-01-30,2025-02-05,20,1.0,3.9999999999999996,1023.4232498047905
2025-02-06,2025-02-12,20,1.0,3.0,1020.6585316168852
2025-02-13,2025-02-20,20,1.5,1.0,1014.2148744986235
2025-02-21,2025-02-27,20,1.0,3.0,993.0926869747788
2025-02-28,2025-03-06,20,1.9999999999999998,1.0,1005.459275245714
2025-03-07,2025-03-13,20,1.9999999999999998,1.0,989.0675965159916
2025-03-14,2025-03-20,20,1.9999999999999998,1.0,999.8941864422014
2025-03-21,2025-03-27,20,3.0,1.0,990.6868798431203
2025-03-28,2025-04-03,20,3.9999999999999996,1.0,1000.7519892415613
2025-04-04,2025-04-10,20,3.9999999999999996,1.0,994.663691376945
2025-04-11,2025-04-17,20,9.499999999999998,1.5,1015.0187172500052
2025-04-21,2025-04-25,20,9.499999999999998,1.0,1014.8273929975026
2025-04-28,2025-05-02,20,1.0,1.5,1011.0503320782108
2025-05-05,2025-05-09,20,1.0,8.499999999999998,1065.3602934905741
2025-05-12,2025-05-16,20,1.9999999999999998,1.9999999999999998,1106.2003679429479
2025-05-20,2025-05-26,20,1.0,1.9999999999999998,1168.3536771246957
2025-05-27,2025-06-02,20,1.0,1.9999999999999998,1064.0663680124055
2025-06-03,2025-06-09,20,1.0,1.9999999999999998,1047.553316713133
2025-06-10,2025-06-16,20,1.0,1.5,1031.208642246563
2025-06-17,2025-06-23,20,1.0,1.9999999999999998,996.5583347195825
2025-06-24,2025-06-30,20,1.0,1.9999999999999998,1021.1734836804078
2025-07-02,2025-07-08,20,1.0,1.9999999999999998,1034.3669684320182
2025-07-09,2025-07-15,20,1.0,1.9999999999999998,1033.0412825215244
2025-07-16,2025-07-22,20,1.0,1.5,1045.059176941375
2025-07-23,2025-07-29,20,1.0,1.0,1031.6309518717435
2025-07-30,2025-08-06,20,1.0,1.5,1037.5891071671974
2025-08-07,2025-08-13,20,1.0,3.4999999999999996,1018.6845876800098
2025-08-14,2025-08-20,20,1.0,3.4999999999999996,1037.159306745332
2025-08-21,2025-08-27,20,1.0,3.4999999999999996,1030.3416157313459
2025-08-28,2025-09-04,20,1.0,3.4999999999999996,1014.7226318370426
2025-09-05,2025-09-11,20,1.0,2.5,1028.4103092870325
2025-09-12,2025-09-18,20,1.0,2.5,1023.482358825088
2025-09-19,2025-09-25,20,1.0,2.5,1031.266081584494
2025-09-26,2025-10-02,20,1.0,1.9999999999999998,1034.2212500373116
2025-10-03,2025-10-09,20,1.0,1.0,1045.130386953881
2025-10-10,2025-10-17,20,1.0,1.0,1034.3377134898938
2025-10-20,2025-10-24,20,1.0,3.0,1016.8142308188296
2025-10-27,2025-10-31,20,1.0,3.0,1030.5970749560588
2025-11-03,2025-11-07,20,1.0,3.0,1021.0904783160975
2025-11-10,2025-11-14,20,1.0,3.0,999.7098359506342
2025-11-17,2025-11-21,20,3.0,1.5,1005.2275033892398
2025-11-24,2025-11-28,20,3.0,1.0,992.0944931110002
2025-12-01,2025-12-05,20,1.0,1.0,1004.9160533678847
2025-12-08,2025-12-12,20,1.0,1.0,1007.0194761773937
2025-12-15,2025-12-19,20,1.0,1.0,999.2775729402177
2025-12-22,2025-12-30,20,1.0,1.0,1014.7313273995416
2025-12-31,2025-12-31,20,1.0,1.0,1000.0408689740037
