Datetime,Action,Price,Shares_After,Cash_After,Portfolio_Value,buy_rise_pct,sell_drop_pct,Reason
2025-01-02 14:30:00+00:00,BUY,93.35005187988281,10.712366837104058,0.0,1000.0,,,Initial full allocation
2025-01-02 17:30:00+00:00,SELL,92.34703826904297,0.0,989.2553502580753,989.2553502580753,1.0,1.0,Price dropped from rolling peak threshold
2025-01-03 14:30:00+00:00,BUY,93.53059387207031,10.576810317393722,0.0,989.2553502580753,1.0,1.0,Price rose from rolling trough threshold
2025-01-07 14:30:00+00:00,SELL,93.78134155273438,0.0,991.9074609139855,991.9074609139855,1.0,1.0,Price dropped from rolling peak threshold
2025-01-15 14:30:00+00:00,BUY,93.41023254394531,10.61883087002634,0.0,991.9074609139856,1.5,1.0,Price rose from rolling trough threshold
2025-01-27 14:30:00+00:00,SELL,94.86459350585938,0.0,1007.3510739925198,1007.3510739925198,1.5,1.0,Price dropped from rolling peak threshold
2025-01-28 19:30:00+00:00,BUY,95.87763214111328,10.50663279324519,0.0,1007.3510739925199,1.5,1.0,Price rose from rolling trough threshold
2025-02-13 14:30:00+00:00,SELL,94.81444549560547,0.0,996.1805623174871,996.1805623174871,1.5,1.0,Price dropped from rolling peak threshold
2025-02-26 14:30:00+00:00,BUY,94.27281951904297,10.566996589258265,0.0,996.180562317487,1.0,3.0,Price rose from rolling trough threshold
2025-02-28 14:30:00+00:00,SELL,93.37010955810547,0.0,986.641629239171,986.641629239171,1.9999999999999998,1.0,Price dropped from rolling peak threshold
2025-03-17 17:30:00+00:00,BUY,89.31795501708984,11.04639743543602,0.0,986.641629239171,1.9999999999999998,1.0,Price rose from rolling trough threshold
2025-03-18 13:30:00+00:00,SELL,88.21464538574219,0.0,974.4540325569604,974.4540325569604,1.9999999999999998,1.0,Price dropped from rolling peak threshold
2025-03-20 13:30:00+00:00,BUY,89.91976165771484,10.836928552660984,0.0,974.4540325569603,1.9999999999999998,1.0,Price rose from rolling trough threshold
2025-03-20 17:30:00+00:00,SELL,88.916748046875,0.0,963.5844457189424,963.5844457189424,1.9999999999999998,1.0,Price dropped from rolling peak threshold
2025-04-08 13:30:00+00:00,BUY,81.58475494384766,11.810839493017399,0.0,963.5844457189423,3.9999999999999996,1.0,Price rose from rolling trough threshold
2025-04-08 14:30:00+00:00,SELL,80.4714126586914,0.0,950.4349386881727,950.4349386881727,3.9999999999999996,1.0,Price dropped from rolling peak threshold
2025-04-09 16:30:00+00:00,BUY,81.3741226196289,11.679817957986936,0.0,950.4349386881727,3.9999999999999996,1.0,Price rose from rolling trough threshold
2025-04-10 13:30:00+00:00,SELL,81.60481262207031,0.0,953.1293559214158,953.1293559214158,3.9999999999999996,1.0,Price dropped from rolling peak threshold
2025-04-28 13:30:00+00:00,BUY,83.94182586669922,11.354641694773216,0.0,953.1293559214158,1.0,1.5,Price rose from rolling trough threshold
2025-04-30 13:30:00+00:00,SELL,83.17953491210938,0.0,944.4738152648815,944.4738152648815,1.0,1.5,Price dropped from rolling peak threshold
2025-04-30 19:30:00+00:00,BUY,84.11233520507812,11.22871946144542,0.0,944.4738152648815,1.0,1.5,Price rose from rolling trough threshold
2025-05-21 16:30:00+00:00,SELL,89.00701904296875,0.0,999.4348469330264,999.4348469330264,1.0,1.9999999999999998,Price dropped from rolling peak threshold
2025-05-26 13:30:00+00:00,BUY,88.51554870605469,11.291065372615856,0.0,999.4348469330263,1.0,1.9999999999999998,Price rose from rolling trough threshold
2025-06-13 13:30:00+00:00,SELL,89.26780700683594,0.0,1007.9286445842404,1007.9286445842404,1.0,1.5,Price dropped from rolling peak threshold
2025-06-16 14:30:00+00:00,BUY,90.1103286743164,11.185495152583147,0.0,1007.9286445842404,1.0,1.5,Price rose from rolling trough threshold
2025-08-01 13:30:00+00:00,SELL,94.55365753173828,0.0,1057.6294779802656,1057.6294779802656,1.0,1.5,Price dropped from rolling peak threshold
2025-08-05 13:30:00+00:00,BUY,95.58676147460938,11.064602060623246,0.0,1057.6294779802656,1.0,1.5,Price rose from rolling trough threshold
2025-10-10 14:30:00+00:00,SELL,102.13640594482422,0.0,1130.0986876817544,1130.0986876817544,1.0,1.0,Price dropped from rolling peak threshold
2025-10-14 13:30:00+00:00,BUY,101.9759292602539,11.082014117249345,0.0,1130.0986876817544,1.0,1.0,Price rose from rolling trough threshold
2025-10-15 16:30:00+00:00,SELL,102.29689025878906,0.0,1133.6555819986074,1133.6555819986074,1.0,1.0,Price dropped from rolling peak threshold
2025-10-20 13:30:00+00:00,BUY,103.61083221435547,10.941477428279333,0.0,1133.6555819986074,1.0,3.0,Price rose from rolling trough threshold
2025-11-17 14:30:00+00:00,SELL,103.86158752441406,0.0,1136.3992155636347,1136.3992155636347,3.0,1.5,Price dropped from rolling peak threshold
2025-11-25 16:30:00+00:00,BUY,104.61383819580078,10.86280013392387,0.0,1136.3992155636347,3.0,1.0,Price rose from rolling trough threshold
2025-12-08 14:30:00+00:00,SELL,104.15245819091797,0.0,1131.387336784804,1131.387336784804,1.0,1.0,Price dropped from rolling peak threshold
2025-12-18 14:30:00+00:00,BUY,102.98896789550781,10.98551971054516,0.0,1131.387336784804,1.0,1.0,Price rose from rolling trough threshold
2025-12-31 15:30:00+00:00,SELL,103.20999908447266,0.0,1133.8154792678224,1133.8154792678224,1.0,1.0,Price dropped from rolling peak threshold
2025-12-31 20:30:00+00:00,FINAL_MARK_TO_MARKET,102.87000274658203,0.0,1133.8154792678224,1133.8154792678224,,,Final valuation at last available bar
