buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
6.0,10.0,1145.981163,14.598116,3,2,1
6.5,10.0,1145.981163,14.598116,3,2,1
7.0,10.0,1145.981163,14.598116,3,2,1
7.5,10.0,1145.981163,14.598116,3,2,1
8.0,10.0,1145.981163,14.598116,3,2,1
9.5,8.5,1145.899798,14.58998,3,2,1
10.0,8.5,1145.899798,14.58998,3,2,1
2.0,5.0,1145.886469,14.588647,9,5,4
2.0,5.5,1145.886469,14.588647,9,5,4
10.5,8.0,1145.648348,14.564835,3,2,1
8.5,9.5,1145.301391,14.530139,3,2,1
9.0,9.5,1145.301391,14.530139,3,2,1
5.5,6.0,1142.496246,14.249625,5,3,2
6.0,6.0,1142.496246,14.249625,5,3,2
6.5,6.0,1142.496246,14.249625,5,3,2
7.0,4.5,1142.464223,14.246422,5,3,2
7.0,5.0,1142.464223,14.246422,5,3,2
7.0,5.5,1142.464223,14.246422,5,3,2
1.5,6.0,1142.385414,14.238541,9,5,4
1.0,7.5,1141.726888,14.172689,7,4,3
1.5,8.0,1141.590055,14.159006,7,4,3
11.0,8.0,1140.847577,14.084758,3,2,1
1.0,14.5,1140.014728,14.001473,3,2,1
1.0,15.0,1140.014728,14.001473,3,2,1
1.0,15.5,1140.014728,14.001473,3,2,1
1.0,16.0,1140.014728,14.001473,3,2,1
1.0,16.5,1140.014728,14.001473,3,2,1
11.5,8.0,1139.653664,13.965366,3,2,1
4.0,7.5,1139.595541,13.959554,5,3,2
4.5,7.5,1139.595541,13.959554,5,3,2
5.0,7.5,1139.595541,13.959554,5,3,2
10.5,8.5,1139.336546,13.933655,3,2,1
5.5,6.5,1138.849337,13.884934,5,3,2
6.0,6.5,1138.849337,13.884934,5,3,2
6.5,6.5,1138.849337,13.884934,5,3,2
1.0,8.5,1138.59875,13.859875,5,3,2
12.0,7.0,1138.388363,13.838836,3,2,1
12.5,7.0,1138.388363,13.838836,3,2,1
7.0,6.0,1137.954981,13.795498,5,3,2
9.5,9.0,1137.737918,13.773792,3,2,1
10.0,9.0,1137.737918,13.773792,3,2,1
7.5,4.5,1137.395084,13.739508,5,3,2
7.5,5.0,1137.395084,13.739508,5,3,2
7.5,5.5,1137.395084,13.739508,5,3,2
2.0,6.0,1136.099362,13.609936,9,5,4
1.0,6.5,1135.847046,13.584705,9,5,4
12.0,7.5,1135.724422,13.572442,3,2,1
