Datetime,symbol,x_days,buy_rise_pct,sell_drop_pct,train_final_value
2026-05-07T03:27:39.305541Z,ZSP.TO,20,1.0,1.5,1075.01220703125
2026-05-08T02:46:48.863879Z,ZSP.TO,20,1.0,1.5,1062.4576816820277
2026-05-09T03:23:36.628076Z,AAPL.TO,20,1.0,3.5,1137.855495391531
2026-05-09T03:33:55.591831Z,AAPL,20,1.0,3.5,1139.7481362953995
2026-05-09T03:33:55.591831Z,AMD,20,1.5,4.5,1881.9353842498729
2026-05-09T03:33:55.591831Z,GOOG,20,1.0,3.0,1255.9544994146977
2026-05-09T03:33:55.591831Z,MSFT,20,1.0,1.0,1140.7470681129817
2026-05-09T03:33:55.591831Z,NVDA,20,1.0,3.5,1198.736099484507
2026-05-09T03:33:55.591831Z,SMH,20,1.0,4.5,1297.6958518903227
2026-05-13T02:55:24.978326Z,ZSP.TO,20,1.0,1.5,1055.3126746559956
2026-05-14T09:57:49.572439Z,AAPL,20,1.0,3.5,1130.4782427885525
2026-05-14T09:57:49.572439Z,AMD,20,1.5,5.0,1641.5978007959825
2026-05-14T09:57:49.572439Z,GOOG,20,1.0,3.0,1199.4635020062333
2026-05-14T09:57:49.572439Z,MSFT,20,1.0,1.5,1015.3384362564163
2026-05-14T09:57:49.572439Z,NVDA,20,1.5,4.5,1214.809664161844
2026-05-14T09:57:49.572439Z,SMH,20,1.0,3.0,1267.846681507296
2026-05-19T12:17:22.062531Z,AAPL,20,1.0,3.5,1106.417971816245
2026-05-19T12:17:22.062531Z,AMD,20,3.5,5.0,1494.894088403112
2026-05-19T12:17:22.062531Z,GOOG,20,1.0,3.0,1192.1046470984957
2026-05-19T12:17:22.062531Z,MSFT,20,1.0,1.5,1052.585730229869
2026-05-19T12:17:22.062531Z,NVDA,20,3.0,3.0,1187.7398559336175
2026-05-19T12:17:22.062531Z,SMH,20,2.5,2.5,1192.7484657296318
